18:64:72:46:81:20,18:64:72:46:81:21,18:64:72:46:81:22,18:64:72:46:81:32,18:64:72:46:81:33,18:64:72:46:81:34,18:64:72:46:85:d1,18:64:72:46:85:d2,18:64:72:46:85:d3,18:64:72:46:86:91,18:64:72:46:86:92,18:64:72:46:86:93,18:64:72:46:a0:11,18:64:72:46:a0:12,18:64:72:46:a0:13,18:64:72:47:00:d1,18:64:72:47:00:d2,18:64:72:47:00:d3,18:64:72:47:01:00,18:64:72:47:01:01,18:64:72:47:01:02,18:64:72:47:01:11,18:64:72:47:01:12,18:64:72:47:01:13,18:64:72:47:04:80,18:64:72:47:04:81,18:64:72:47:04:82,18:64:72:47:04:91,18:64:72:47:04:92,18:64:72:47:04:93,18:64:72:47:08:31,18:64:72:47:08:32,18:64:72:47:08:33,84:d4:7e:d8:ef:e0,84:d4:7e:d8:ef:e1,84:d4:7e:d8:ef:e2,84:d4:7e:d8:ef:f0,84:d4:7e:d8:ef:f1,84:d4:7e:d8:ef:f3,84:d4:7e:d8:f1:70,84:d4:7e:d8:f1:71,84:d4:7e:d8:f1:73,84:d4:7e:d8:f2:30,84:d4:7e:d8:f2:32,84:d4:7e:d8:f2:33,84:d4:7e:d8:f3:40,84:d4:7e:d8:f3:41,84:d4:7e:d8:f3:42,84:d4:7e:d8:f3:50,84:d4:7e:d8:f3:51,84:d4:7e:d8:f3:53,84:d4:7e:d8:f3:80,84:d4:7e:d8:f3:81,84:d4:7e:d8:f3:82,84:d4:7e:d8:f3:90,84:d4:7e:d8:f3:91,84:d4:7e:d8:f3:93,84:d4:7e:d8:f4:40,84:d4:7e:d8:f4:41,84:d4:7e:d8:f4:42,84:d4:7e:d8:f4:51,84:d4:7e:d8:f4:52,84:d4:7e:d8:f4:53,84:d4:7e:d8:f5:80,84:d4:7e:d8:f5:81,84:d4:7e:d8:f5:82,84:d4:7e:d8:f5:90,84:d4:7e:d8:f5:91,84:d4:7e:d8:f5:93,84:d4:7e:d8:f6:30,84:d4:7e:d8:f6:31,84:d4:7e:d8:f6:33,84:d4:7e:d8:f6:80,84:d4:7e:d8:f6:81,84:d4:7e:d8:f6:82,84:d4:7e:d8:f6:91,84:d4:7e:d8:f6:92,84:d4:7e:d8:f6:93,84:d4:7e:d8:f6:f0,84:d4:7e:d8:f6:f1,84:d4:7e:d8:f6:f3,84:d4:7e:d8:f9:00,84:d4:7e:d8:f9:01,84:d4:7e:d8:f9:02,84:d4:7e:d8:f9:10,84:d4:7e:d8:f9:11,84:d4:7e:d8:f9:13,84:d4:7e:d8:f9:c0,84:d4:7e:d8:f9:c1,84:d4:7e:d8:f9:c2,84:d4:7e:d8:f9:d0,84:d4:7e:d8:f9:d1,84:d4:7e:d8:f9:d3,84:d4:7e:d8:fa:30,84:d4:7e:d8:fa:31,84:d4:7e:d8:fa:32,84:d4:7e:d8:fa:d0,84:d4:7e:d8:fa:d1,84:d4:7e:d8:fa:d3,84:d4:7e:d8:fb:00,84:d4:7e:d8:fb:01,84:d4:7e:d8:fb:02,84:d4:7e:d8:fb:10,84:d4:7e:d8:fb:11,84:d4:7e:d8:fb:13,84:d4:7e:d8:fd:40,84:d4:7e:d8:fd:41,84:d4:7e:d8:fd:42,84:d4:7e:d8:fd:50,84:d4:7e:d8:fd:51,84:d4:7e:d8:fd:53,84:d4:7e:d9:00:70,84:d4:7e:d9:00:72,84:d4:7e:d9:00:73,84:d4:7e:d9:00:b0,84:d4:7e:d9:00:b1,84:d4:7e:d9:00:b2,84:d4:7e:d9:00:f0,84:d4:7e:d9:00:f1,84:d4:7e:d9:00:f3,84:d4:7e:d9:02:10,84:d4:7e:d9:02:11,84:d4:7e:d9:02:13,84:d4:7e:d9:03:10,84:d4:7e:d9:03:11,84:d4:7e:d9:03:13,84:d4:7e:d9:07:20,84:d4:7e:d9:07:21,84:d4:7e:d9:07:22,84:d4:7e:d9:07:30,84:d4:7e:d9:07:31,84:d4:7e:d9:07:33,a8:bd:27:4c:b1:10,a8:bd:27:4c:b1:11,a8:bd:27:4c:b1:13,a8:bd:27:4c:b6:80,a8:bd:27:4c:b6:81,a8:bd:27:4c:b6:82,a8:bd:27:4c:b6:90,a8:bd:27:4c:b6:92,a8:bd:27:4c:b6:93,a8:bd:27:4c:b7:c0,a8:bd:27:4c:b7:c1,a8:bd:27:4c:b7:c2,a8:bd:27:4c:b7:d0,a8:bd:27:4c:b7:d2,a8:bd:27:4c:b7:d3,a8:bd:27:4c:bc:90,a8:bd:27:4c:bc:91,a8:bd:27:4c:bc:93,a8:bd:27:4c:bf:a0,a8:bd:27:4c:bf:a1,a8:bd:27:4c:bf:a2,a8:bd:27:4c:bf:b0,a8:bd:27:4c:bf:b2,a8:bd:27:4c:bf:b3,a8:bd:27:4c:c0:30,a8:bd:27:4c:c0:31,a8:bd:27:4c:c0:33,a8:bd:27:4c:c0:b0,a8:bd:27:4c:c0:b1,a8:bd:27:4c:c0:b3,a8:bd:27:4c:c8:d0,a8:bd:27:4c:c8:d1,a8:bd:27:4c:c8:d3,b4:5d:50:e1:92:f0,b4:5d:50:e1:92:f1,b4:5d:50:e1:92:f3,b4:5d:50:e1:93:80,b4:5d:50:e1:93:81,b4:5d:50:e1:93:82,b4:5d:50:e1:93:91,b4:5d:50:e1:93:92,b4:5d:50:e1:93:93,b4:5d:50:e1:9c:10,b4:5d:50:e1:9c:11,b4:5d:50:e1:9c:13,b4:5d:50:e1:9c:d0,b4:5d:50:e1:9c:d1,b4:5d:50:e1:9c:d3,x,y,label
-67,-65,-57,-63,-63,-63,-68,-68,-68,-71,-72,-72,-53,-51,-53,-77,-78,-77,-70,-100,-70,-71,-71,-71,-82,-100,-79,-76,-100,-77,-66,-66,-67,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100,-100,-100,-85,-84.0,-84,-80.0,-79.0,-80.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-85.0,-81,-82.0,-82,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-78,-100,-100.0,-82.0,-100.0,-83.0,-84.0,-84.0,-84.0,-100.0,-100.0,-84.0,-86.0,-86.0,-86.0,-77,-77.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-87.0,-100,-100,-100,-100.0,-100.0,-100.0,-75,-77,-76,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-83.0,-82.0,-80,-81,-80,-85.0,-86.0,-84.0,-84.0,-84.0,-84.0,-100,-100,-100,-64,-64,-64,-63,-63,-63,-100,-100,-100,-100.0,-100.0,-100.0,-86.0,-85.0,-85.0,-70,-69,-68,-70,-70,-70,-61,-60,-60,-53,-53,-53,-76,-76.0,-76,-67,-66,-67,-100,-100,-100,-100.0,-100.0,-100.0,-66,-66,-66,-100.0,-100.0,-100.0,823,272,0
-66,-65,-65,-62,-62,-62,-68,-100,-69,-72,-72,-72,-52,-52,-52,-77,-78,-77,-70,-70,-70,-70,-71,-70,-78,-79,-80,-78,-100,-78,-67,-68,-67,-84.0,-85.0,-85.0,-100.0,-100.0,-100.0,-86.0,-87.0,-86.0,-100.0,-100.0,-100.0,-83,-84,-83,-85,-85.0,-84,-82.0,-84.0,-82.0,-83.0,-100.0,-85.0,-100.0,-100.0,-100.0,-86.0,-100.0,-85.0,-82,-82.0,-82,-81.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-77,-100,-100.0,-84.0,-82.0,-84.0,-84.0,-85.0,-83.0,-83.0,-84.0,-83.0,-100.0,-100.0,-84.0,-79,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-86.0,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-83.0,-84.0,-79,-80,-80,-83.0,-84.0,-84.0,-84.0,-84.0,-84.0,-100,-100,-89,-65,-65,-65,-66,-65,-65,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-84.0,-85.0,-70,-70,-69,-70,-70,-70,-59,-59,-58,-51,-51,-51,-75,-75.0,-75,-68,-68,-68,-100,-100,-100,-100.0,-100.0,-100.0,-68,-68,-68,-100.0,-100.0,-100.0,823,272,0
-67,-66,-66,-62,-62,-62,-65,-66,-64,-71,-71,-71,-52,-52,-52,-77,-77,-76,-72,-70,-71,-71,-71,-71,-84,-80,-80,-79,-100,-78,-67,-67,-68,-84.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83,-84,-83,-85,-85.0,-86,-83.0,-84.0,-83.0,-83.0,-100.0,-100.0,-84.0,-85.0,-85.0,-86.0,-100.0,-86.0,-82,-88.0,-82,-80.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-79,-100,-100.0,-84.0,-82.0,-84.0,-83.0,-84.0,-85.0,-100.0,-100.0,-100.0,-87.0,-84.0,-86.0,-78,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-84.0,-80,-79,-81,-85.0,-85.0,-85.0,-84.0,-84.0,-84.0,-100,-100,-100,-65,-65,-65,-65,-65,-65,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-86.0,-72,-70,-71,-69,-70,-70,-59,-59,-59,-52,-51,-51,-76,-75.0,-76,-67,-67,-67,-100,-100,-100,-100.0,-100.0,-100.0,-68,-68,-68,-100.0,-100.0,-100.0,823,272,0
-65,-65,-65,-61,-61,-61,-67,-100,-69,-72,-72,-71,-52,-51,-52,-77,-78,-78,-71,-70,-70,-71,-100,-71,-78,-79,-80,-77,-100,-77,-66,-67,-67,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100,-100,-85,-84,-85.0,-84,-80.0,-79.0,-80.0,-84.0,-100.0,-85.0,-100.0,-100.0,-100.0,-86.0,-100.0,-85.0,-100,-100.0,-100,-81.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-79,-100,-100.0,-100.0,-100.0,-83.0,-84.0,-84.0,-83.0,-83.0,-84.0,-83.0,-86.0,-86.0,-84.0,-78,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-86.0,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-83.0,-83.0,-79,-80,-79,-85.0,-86.0,-84.0,-84.0,-84.0,-84.0,-100,-100,-89,-66,-66,-66,-64,-65,-65,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-85.0,-70,-69,-68,-70,-70,-70,-60,-59,-60,-53,-53,-53,-75,-75.0,-75,-68,-68,-68,-100,-100,-100,-100.0,-100.0,-100.0,-67,-67,-67,-100.0,-100.0,-100.0,823,272,0
-65,-65,-65,-63,-63,-63,-67,-65,-66,-72,-71,-71,-53,-52,-53,-79,-77,-78,-71,-100,-71,-70,-71,-71,-81,-80,-79,-75,-100,-76,-69,-69,-69,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85,-85,-85,-85,-85.0,-85,-82.0,-82.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-85.0,-86.0,-100.0,-85.0,-82,-88.0,-81,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-77,-76,-100.0,-83.0,-83.0,-83.0,-85.0,-85.0,-84.0,-100.0,-100.0,-100.0,-87.0,-86.0,-85.0,-78,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-83.0,-84.0,-80,-80,-80,-84.0,-84.0,-84.0,-100.0,-100.0,-84.0,-100,-100,-100,-66,-67,-66,-65,-65,-65,-100,-100,-100,-100.0,-100.0,-100.0,-86.0,-85.0,-85.0,-71,-71,-71,-69,-70,-70,-59,-59,-59,-52,-52,-52,-76,-76.0,-76,-68,-67,-68,-100,-100,-100,-100.0,-100.0,-100.0,-66,-66,-66,-100.0,-100.0,-100.0,823,272,0
-66,-66,-65,-63,-63,-63,-67,-67,-67,-71,-71,-71,-52,-52,-52,-77,-76,-77,-71,-70,-70,-69,-71,-69,-80,-80,-80,-79,-100,-78,-68,-67,-67,-84.0,-84.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85,-85,-85,-84,-85.0,-85,-81.0,-81.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-85.0,-82,-100.0,-81,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-77,-78,-100.0,-83.0,-83.0,-83.0,-84.0,-84.0,-83.0,-100.0,-100.0,-100.0,-85.0,-87.0,-86.0,-78,-78.0,-78.0,-100.0,-100.0,-100.0,-83.0,-84.0,-83.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-84.0,-83.0,-79,-80,-81,-84.0,-85.0,-84.0,-100.0,-100.0,-84.0,-100,-100,-100,-66,-67,-66,-65,-65,-65,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-86.0,-85.0,-71,-71,-71,-70,-70,-70,-59,-59,-59,-52,-52,-52,-76,-76.0,-76,-67,-68,-68,-100,-100,-100,-100.0,-100.0,-100.0,-68,-68,-68,-100.0,-100.0,-100.0,823,272,0
-65,-65,-65,-63,-63,-63,-65,-65,-65,-71,-71,-71,-53,-53,-53,-76,-76,-77,-72,-70,-71,-71,-100,-71,-81,-80,-79,-80,-100,-80,-67,-67,-67,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-86,-85,-85.0,-85,-83.0,-100.0,-83.0,-86.0,-100.0,-100.0,-84.0,-85.0,-85.0,-86.0,-100.0,-86.0,-82,-88.0,-82,-80.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-77,-100,-100.0,-100.0,-100.0,-100.0,-85.0,-85.0,-84.0,-100.0,-100.0,-100.0,-87.0,-86.0,-85.0,-79,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-82.0,-83.0,-82.0,-80,-81,-81,-84.0,-86.0,-84.0,-84.0,-84.0,-84.0,-100,-100,-100,-66,-66,-67,-66,-66,-66,-100,-100,-100,-100.0,-100.0,-100.0,-86.0,-86.0,-85.0,-72,-70,-71,-69,-69,-69,-60,-59,-59,-52,-52,-52,-76,-76.0,-76,-68,-67,-67,-100,-100,-100,-100.0,-100.0,-100.0,-68,-68,-68,-100.0,-100.0,-100.0,823,272,0
-66,-66,-66,-62,-62,-62,-70,-100,-69,-71,-71,-70,-53,-52,-53,-76,-77,-76,-71,-70,-70,-71,-100,-70,-100,-80,-80,-77,-100,-78,-67,-67,-67,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100,-100,-100,-85,-84.0,-85,-80.0,-79.0,-80.0,-82.0,-100.0,-83.0,-100.0,-100.0,-100.0,-86.0,-100.0,-85.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-77,-100,-100.0,-100.0,-100.0,-83.0,-84.0,-85.0,-84.0,-84.0,-84.0,-83.0,-86.0,-86.0,-84.0,-78,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-100,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-84.0,-82.0,-79,-79,-81,-85.0,-86.0,-84.0,-84.0,-84.0,-84.0,-100,-100,-89,-100,-100,-100,-64,-63,-64,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-86.0,-86.0,-70,-69,-68,-70,-70,-70,-59,-59,-59,-52,-52,-52,-76,-76.0,-76,-68,-68,-68,-100,-100,-100,-100.0,-100.0,-100.0,-67,-67,-67,-100.0,-100.0,-100.0,823,272,0
-67,-66,-66,-66,-66,-66,-66,-65,-67,-69,-69,-69,-49,-49,-49,-75,-75,-75,-70,-70,-70,-74,-74,-73,-100,-100,-100,-73,-75,-73,-68,-68,-69,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85,-84,-84,-83,-83.0,-82,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-81.0,-81.0,-80.0,-100.0,-100.0,-100.0,-100,-100.0,-79,-81.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-78,-80,-100.0,-82.0,-81.0,-81.0,-83.0,-84.0,-83.0,-84.0,-83.0,-84.0,-100.0,-100.0,-100.0,-79,-80.0,-80.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-88.0,-89.0,-88.0,-100,-100,-100,-100.0,-100.0,-100.0,-77,-77,-78,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-84.0,-77,-77,-77,-85.0,-85.0,-85.0,-81.0,-81.0,-100.0,-100,-100,-100,-66,-65,-66,-70,-70,-70,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-83.0,-65,-65,-65,-75,-75,-75,-59,-59,-59,-52,-52,-52,-79,-78.0,-79,-67,-67,-67,-100,-100,-100,-100.0,-100.0,-100.0,-65,-65,-65,-100.0,-100.0,-100.0,823,286,1
-65,-65,-65,-67,-67,-67,-66,-66,-66,-69,-69,-70,-50,-48,-49,-75,-75,-75,-69,-69,-69,-73,-100,-73,-79,-80,-80,-74,-100,-73,-68,-68,-68,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-85,-100,-82,-82.0,-82,-85.0,-100.0,-85.0,-81.0,-100.0,-81.0,-80.0,-81.0,-80.0,-87.0,-100.0,-85.0,-100,-78.0,-79,-81.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-79,-79,-100.0,-100.0,-82.0,-82.0,-84.0,-84.0,-84.0,-100.0,-100.0,-100.0,-85.0,-85.0,-84.0,-80,-80.0,-80.0,-100.0,-100.0,-100.0,-83.0,-85.0,-85.0,-87.0,-87.0,-88.0,-100,-100,-100,-100.0,-100.0,-100.0,-77,-77,-77,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-84.0,-78,-78,-77,-85.0,-85.0,-85.0,-82.0,-82.0,-82.0,-100,-100,-100,-65,-66,-100,-71,-71,-71,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-83.0,-83.0,-65,-66,-64,-75,-74,-75,-59,-59,-59,-52,-52,-52,-78,-78.0,-78,-67,-67,-68,-100,-100,-100,-100.0,-100.0,-100.0,-64,-65,-64,-100.0,-100.0,-100.0,823,286,1
-66,-66,-66,-67,-67,-67,-66,-65,-65,-70,-70,-70,-49,-50,-49,-75,-75,-75,-71,-70,-70,-71,-71,-71,-100,-79,-79,-73,-79,-74,-68,-68,-67,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85,-84,-84,-83,-83.0,-83,-100.0,-100.0,-100.0,-83.0,-100.0,-82.0,-87.0,-100.0,-85.0,-84.0,-100.0,-85.0,-82,-82.0,-82,-82.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-78,-78,-100.0,-100.0,-82.0,-83.0,-84.0,-84.0,-85.0,-100.0,-100.0,-73.0,-100.0,-100.0,-84.0,-79,-79.0,-80.0,-100.0,-100.0,-100.0,-83.0,-85.0,-85.0,-87.0,-87.0,-88.0,-100,-100,-100,-100.0,-100.0,-100.0,-77,-78,-78,-100,-100,-100,-100.0,-100.0,-100.0,-82.0,-83.0,-83.0,-76,-77,-77,-85.0,-85.0,-73.0,-100.0,-100.0,-100.0,-100,-100,-100,-66,-66,-66,-69,-69,-69,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-83.0,-83.0,-65,-65,-65,-73,-72,-72,-58,-58,-59,-52,-52,-52,-76,-76.0,-79,-67,-68,-68,-100,-100,-100,-100.0,-100.0,-100.0,-65,-65,-65,-100.0,-100.0,-100.0,823,286,1
-66,-66,-66,-65,-65,-65,-68,-68,-69,-70,-70,-69,-49,-49,-49,-76,-75,-75,-70,-70,-69,-73,-74,-74,-79,-78,-78,-73,-100,-73,-69,-69,-69,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-83,-100,-83,-83.0,-82,-85.0,-100.0,-85.0,-81.0,-100.0,-81.0,-81.0,-81.0,-81.0,-87.0,-100.0,-100.0,-79,-78.0,-79,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-80,-80,-100.0,-81.0,-81.0,-81.0,-84.0,-84.0,-83.0,-100.0,-100.0,-100.0,-85.0,-85.0,-85.0,-79,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-78,-77,-77,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-83.0,-78,-78,-78,-100.0,-84.0,-85.0,-82.0,-82.0,-83.0,-100,-100,-100,-66,-65,-64,-71,-71,-71,-100,-100,-100,-100.0,-100.0,-100.0,-83.0,-84.0,-84.0,-65,-65,-65,-74,-74,-73,-60,-60,-60,-51,-51,-51,-78,-79.0,-78,-67,-67,-68,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-77,-100.0,-100.0,-100.0,823,286,1
-66,-67,-67,-66,-65,-65,-66,-100,-67,-69,-69,-69,-49,-49,-49,-76,-76,-76,-70,-70,-70,-74,-74,-74,-100,-100,-100,-73,-75,-73,-67,-67,-68,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84,-84,-84,-82,-83.0,-82,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-80,-100.0,-79,-81.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-80,-79,-100.0,-82.0,-82.0,-82.0,-83.0,-84.0,-83.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-79,-80.0,-79.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100,-100,-100,-100.0,-100.0,-100.0,-77,-78,-78,-100,-100,-100,-100.0,-100.0,-100.0,-85.0,-85.0,-84.0,-77,-77,-77,-86.0,-84.0,-86.0,-100.0,-100.0,-100.0,-100,-100,-100,-66,-65,-66,-70,-69,-69,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-83.0,-83.0,-65,-65,-65,-73,-72,-72,-59,-59,-59,-52,-52,-52,-78,-78.0,-78,-68,-67,-68,-100,-100,-100,-100.0,-100.0,-100.0,-66,-66,-66,-100.0,-100.0,-100.0,823,286,1
-67,-66,-66,-66,-66,-66,-66,-100,-66,-69,-69,-69,-50,-50,-50,-74,-75,-75,-70,-70,-70,-74,-74,-74,-80,-80,-79,-74,-75,-73,-69,-70,-69,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84,-84,-84,-82,-83.0,-83,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-81.0,-80.0,-81.0,-100.0,-100.0,-100.0,-80,-100.0,-79,-81.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-79,-79,-100.0,-100.0,-82.0,-82.0,-83.0,-84.0,-83.0,-84.0,-85.0,-84.0,-85.0,-85.0,-84.0,-80,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100,-100,-100,-100.0,-100.0,-100.0,-77,-77,-78,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-85.0,-85.0,-77,-77,-77,-86.0,-84.0,-86.0,-83.0,-83.0,-83.0,-100,-100,-100,-100,-100,-100,-70,-70,-69,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-83.0,-85.0,-65,-65,-65,-73,-74,-73,-60,-60,-60,-51,-51,-51,-78,-78.0,-79,-68,-67,-68,-100,-100,-100,-100.0,-100.0,-100.0,-65,-64,-65,-100.0,-100.0,-100.0,823,286,1
-67,-65,-66,-66,-66,-66,-66,-66,-66,-69,-69,-69,-50,-49,-50,-76,-76,-76,-70,-69,-69,-74,-74,-74,-79,-80,-80,-73,-100,-73,-68,-68,-68,-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-83,-100,-82,-82.0,-82,-85.0,-100.0,-85.0,-83.0,-100.0,-81.0,-80.0,-81.0,-80.0,-87.0,-100.0,-100.0,-79,-78.0,-79,-81.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-79,-80,-100.0,-81.0,-81.0,-81.0,-83.0,-83.0,-84.0,-100.0,-100.0,-100.0,-85.0,-85.0,-84.0,-80,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-78,-78,-77,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-83.0,-84.0,-76,-77,-77,-100.0,-84.0,-85.0,-82.0,-82.0,-82.0,-100,-100,-100,-66,-65,-64,-71,-70,-70,-100,-100,-100,-100.0,-100.0,-100.0,-84.0,-84.0,-84.0,-65,-65,-65,-74,-75,-75,-59,-59,-59,-52,-52,-52,-78,-79.0,-78,-68,-67,-68,-100,-100,-100,-100.0,-100.0,-100.0,-66,-65,-65,-100.0,-100.0,-100.0,823,286,1
